迭代次数,总损失,合成监督损失,真实伪标签损失,正伪标签比例,负伪标签比例,忽略比例,平均预测熵,正类概率阈值,负类概率阈值,残差阈值
1,0.6891818642616272,0.6880432963371277,0.15939950942993164,0.001678466796875,0.25,0.748321533203125,0.41825780272483826,0.72,0.13025493919849396,0.019787229597568512
2,0.6299727559089661,0.6278784871101379,0.14659862220287323,0.0007476806640625,0.25,0.7492523193359375,0.418840616941452,0.72,0.12852531671524048,0.02254820242524147
3,0.7799334526062012,0.7767739295959473,0.14744575321674347,0.0006256103515625,0.25,0.7493743896484375,0.4180619418621063,0.72,0.13053444027900696,0.019875744357705116
4,0.7581968903541565,0.7527490854263306,0.1906733512878418,0.004638671875,0.25,0.745361328125,0.42083340883255005,0.72,0.12975206971168518,0.020693248137831688
5,0.706253170967102,0.7009614706039429,0.14816699922084808,0.001953125,0.25,0.748046875,0.42053699493408203,0.72,0.12789878249168396,0.027181198820471764
6,0.7411985993385315,0.7349280714988708,0.14631229639053345,0.001922607421875,0.25,0.748077392578125,0.4176900386810303,0.72,0.13076752424240112,0.02086520940065384
7,0.684665858745575,0.6766796112060547,0.15972480177879333,0.0023345947265625,0.25,0.7476654052734375,0.4217906892299652,0.72,0.1269569844007492,0.022636521607637405
8,0.706495463848114,0.6974942684173584,0.15752103924751282,0.00244140625,0.25,0.74755859375,0.4199613928794861,0.72,0.12932991981506348,0.022054485976696014
9,0.7335309386253357,0.7196921110153198,0.21527099609375,0.0030975341796875,0.25,0.7469024658203125,0.41919660568237305,0.72,0.12985819578170776,0.021797943860292435
10,0.7440114617347717,0.7325539588928223,0.16040527820587158,0.002532958984375,0.25,0.747467041015625,0.41908299922943115,0.72,0.1293579638004303,0.02202030085027218
11,0.6578109264373779,0.6467347145080566,0.14096958935260773,0.0003814697265625,0.25,0.7496185302734375,0.4179186522960663,0.72,0.12949678301811218,0.023518139496445656
12,0.6513740420341492,0.6363120675086975,0.17572277784347534,0.0027313232421875,0.25,0.7472686767578125,0.41955292224884033,0.72,0.12890824675559998,0.02163871005177498
13,0.6895032525062561,0.6745269298553467,0.16128353774547577,0.0021820068359375,0.25,0.7478179931640625,0.4208395481109619,0.72,0.12732668220996857,0.026472315192222595
14,0.6916751265525818,0.6757700443267822,0.1590506136417389,0.001556396484375,0.25,0.748443603515625,0.41747352480888367,0.72,0.12975791096687317,0.020984403789043427
15,0.7559601068496704,0.7410383224487305,0.1392701268196106,0.0010528564453125,0.25,0.7489471435546875,0.41987794637680054,0.72,0.1280553638935089,0.020173244178295135
16,0.6659238338470459,0.6501219868659973,0.1382663995027542,0.00244140625,0.25,0.74755859375,0.4197514057159424,0.72,0.12829801440238953,0.0190290380269289
17,0.7197352051734924,0.7032075524330139,0.13611015677452087,0.0038299560546875,0.25,0.7461700439453125,0.42417269945144653,0.72,0.12588337063789368,0.025674190372228622
18,0.728132426738739,0.7085162401199341,0.1525702029466629,0.0052032470703125,0.25,0.7447967529296875,0.4208659529685974,0.72,0.12960344552993774,0.01968958228826523
19,0.668104887008667,0.6493761539459229,0.1380012333393097,0.001861572265625,0.25,0.748138427734375,0.41843247413635254,0.72,0.12861983478069305,0.020429210737347603
20,0.7071536183357239,0.6866163015365601,0.1437612622976303,0.0026397705078125,0.25,0.7473602294921875,0.4197247624397278,0.72,0.12821781635284424,0.024440718814730644
