审核ID,原始图像,审核类型,纵向起点_含,纵向终点_不含,窗口宽,窗口高,模型平均概率,模型平均熵,预测裂缝像素比例,不确定像素比例,高置信像素比例,平均像素熵,光度扰动概率差平均值,周期平移概率差平均值,双阈值稳定度,修复残差平均值,预测概率与修复残差相关系数,整图周期边界概率差
审核001_图1-9_留出集系统抽样窗口01_纵向0024-0183,图1-9.jpg,留出集系统抽样窗口01,24,184,244,160,0.1644022911787033,0.41391855478286743,0.026844262295081966,0.03908811475409836,0.02461577868852459,0.41391855478286743,0.002603889675810933,0.017130516469478607,0.6888361045130641,0.016733603551983833,0.4943943127659114,0.029344886541366577
审核002_图1-9_留出集系统抽样窗口02_纵向0191-0350,图1-9.jpg,留出集系统抽样窗口02,191,351,244,160,0.1785094439983368,0.4217984974384308,0.042110655737704915,0.05576331967213115,0.04784836065573771,0.4217984974384308,0.0027349370066076517,0.021459322422742844,0.6785356068204614,0.024660462513566017,0.5813502464195323,0.029344886541366577
审核003_图1-9_留出集系统抽样窗口03_纵向0357-0516,图1-9.jpg,留出集系统抽样窗口03,357,517,244,160,0.17919643223285675,0.42221543192863464,0.042315573770491804,0.052535860655737704,0.052689549180327866,0.42221543192863464,0.0034029027447104454,0.022177351638674736,0.6931931931931932,0.02335326373577118,0.4875607362603848,0.029344886541366577
审核004_图1-9_留出集系统抽样窗口04_纵向0524-0683,图1-9.jpg,留出集系统抽样窗口04,524,684,244,160,0.17145106196403503,0.4168201982975006,0.03632172131147541,0.04551741803278689,0.04400614754098361,0.4168201982975006,0.0026049187872558832,0.0209494661539793,0.6837806301050176,0.02352738380432129,0.4878379581046932,0.029344886541366577
审核005_图1-9_留出集系统抽样窗口05_纵向0690-0849,图1-9.jpg,留出集系统抽样窗口05,690,850,244,160,0.17399048805236816,0.41755279898643494,0.0407530737704918,0.04254610655737705,0.026075819672131146,0.41755279898643494,0.0027394143398851156,0.020982354879379272,0.7261968800430338,0.02164367586374283,0.587174517961853,0.029344886541366577
审核006_图1-9_留出集系统抽样窗口06_纵向0857-1016,图1-9.jpg,留出集系统抽样窗口06,857,1017,244,160,0.16697394847869873,0.41518518328666687,0.029610655737704918,0.04129098360655738,0.052663934426229506,0.41518518328666687,0.0030284624081104994,0.01970384083688259,0.6742209631728046,0.022333020344376564,0.5037124576041719,0.029344886541366577
审核007_图1-9_留出集系统抽样窗口07_纵向1023-1182,图1-9.jpg,留出集系统抽样窗口07,1023,1183,244,160,0.15766490995883942,0.41168642044067383,0.017827868852459017,0.029508196721311476,0.034375,0.41168642044067383,0.0023835112806409597,0.018934862688183784,0.6514084507042254,0.021119268611073494,0.3825627154027333,0.029344886541366577
审核008_图1-9_留出集系统抽样窗口08_纵向1190-1349,图1-9.jpg,留出集系统抽样窗口08,1190,1350,244,160,0.16989931464195251,0.41304466128349304,0.0353483606557377,0.03896004098360656,0.024487704918032788,0.41304466128349304,0.006802275311201811,0.018037673085927963,0.7371357718536887,0.021921779960393906,0.5939033974714342,0.029344886541366577
审核009_图1-10_留出集系统抽样窗口01_纵向0024-0183,图1-10.jpg,留出集系统抽样窗口01,24,184,244,160,0.19581520557403564,0.4300306439399719,0.0630122950819672,0.06442110655737705,0.03140368852459016,0.4300306439399719,0.0032112610060721636,0.021777255460619926,0.7398601398601399,0.024032095447182655,0.5947908279648535,0.03266502171754837
审核010_图1-10_留出集系统抽样窗口02_纵向0191-0350,图1-10.jpg,留出集系统抽样窗口02,191,351,244,160,0.15332268178462982,0.40641680359840393,0.016086065573770493,0.02469262295081967,0.03557889344262295,0.40641680359840393,0.002230705227702856,0.01446513645350933,0.6607142857142857,0.020347829908132553,0.48440466407861926,0.03266502171754837
审核011_图1-10_留出集系统抽样窗口03_纵向0357-0516,图1-10.jpg,留出集系统抽样窗口03,357,517,244,160,0.15475936233997345,0.4094187319278717,0.015522540983606557,0.025204918032786884,0.022131147540983605,0.4094187319278717,0.002774415770545602,0.01618916541337967,0.5977011494252874,0.018605239689350128,0.49037803101382804,0.03266502171754837
审核012_图1-10_留出集系统抽样窗口04_纵向0524-0683,图1-10.jpg,留出集系统抽样窗口04,524,684,244,160,0.17618069052696228,0.4187035858631134,0.043237704918032784,0.044902663934426226,0.012013319672131147,0.4187035858631134,0.0022876861039549112,0.02023274078965187,0.7307496175420704,0.021731754764914513,0.6432375417800232,0.03266502171754837
